kisi_id,ad,soyad,tel,bütçe
1,Ali,Can,123456789,2000.0
2,Kenan,Ak,987654321,1915.0
3,Samet,Yılmaz,654123789,3000.0
4,Ahmet,Kemal,987321456,3925.0
5,Yasin,Faruk,123987654,4735.0
6,Cafer,Tez,1234567987,4560.0
7,Cenk,Tosun,8527410369,4485.0
8,Arda,Güler,1023657894,7300.0
9,Emre,Mor,1234567090,7300.0
10,Emirhan,Altunel,1236478905,730.0
11,Cengiz,Ünder,1239874560,2600.0
12,Şenol,Güneş,4569873210,2360.0
13,Enes,Ünal,4785123690,3200.0
14,İlyas,Çakırbeyli,4563982170,3510.0
15,Hızır,Çakırbeyli,4563289710,5620.0
16,Salih,Selman,4751236980,950.0
17,Ali,Akıncı,4102365987,750.0
